hey hey :D
What Are Your Moves Tomorrow, December 23, 2022
Most Anticipated Earnings Releases for the week beginning December 19th, 2022
Bill Gates checking his TSLA puts right now
Sam Bankman-Fried to be released on a $250,000,000 bail- according to CNBC.
Lol. pretty sure this mean Elon sold more stock today. Explains the 10% drop.
AMC 🤡
That margin call is coming fast..
Nice
What happened to Santa?
I f*cked up big time. I’m 25. Ain’t no coming back from this 💀
